year,city,country,avg_temp,MA
1994,Baghdad,Iraq,23.47,23.017
1995,Baghdad,Iraq,23.32,23.047
1996,Baghdad,Iraq,23.96,23.128
1997,Baghdad,Iraq,22.74,23.048
1998,Baghdad,Iraq,24.33,23.187
1999,Baghdad,Iraq,24.42,23.324
2000,Baghdad,Iraq,23.9,23.373
2001,Baghdad,Iraq,24.45,23.497
2002,Baghdad,Iraq,23.76,23.721
2003,Baghdad,Iraq,23.88,23.823
2004,Baghdad,Iraq,23.72,23.848
2005,Baghdad,Iraq,23.58,23.874
2006,Baghdad,Iraq,23.82,23.86
2007,Baghdad,Iraq,23.92,23.978
2008,Baghdad,Iraq,24.09,23.954
2009,Baghdad,Iraq,23.87,23.899
2010,Baghdad,Iraq,25.49,24.058
2011,Baghdad,Iraq,23.44,23.957
2012,Baghdad,Iraq,24.34,24.015
2013,Baghdad,Iraq,25.14,24.141
