year,city,country,avg_temp,MA
2001,Cairo,Egypt,22.33,21.827
2002,Cairo,Egypt,22.41,21.957
2003,Cairo,Egypt,22.17,21.995
2004,Cairo,Egypt,22.08,22.001
2005,Cairo,Egypt,22.01,22.046
2006,Cairo,Egypt,22.05,22.063
2007,Cairo,Egypt,22.36,22.154
2008,Cairo,Egypt,22.64,22.182
2009,Cairo,Egypt,22.63,22.217
2010,Cairo,Egypt,23.72,22.44
2011,Cairo,Egypt,21.99,22.406
2012,Cairo,Egypt,22.48,22.413
2013,Cairo,Egypt,22.91,22.487
